id,dispositivo_id,coletado_em,umidade,temperatura,ph_raw,npk_nitrogenio,npk_fosforo,npk_potassio,chuva_mm
1,1,2024-01-01 08:34:26,69.2,24.3,1603,True,True,True,0.2
2,1,2024-01-02 08:21:06,64.2,24.4,1451,True,True,True,4.4
3,1,2024-01-03 08:39:56,46.8,23.9,1879,True,True,True,4.4
4,1,2024-01-04 08:17:29,64.4,27.9,1575,True,True,True,3.3
5,1,2024-01-05 08:24:17,57.1,26.9,1678,True,True,True,0.9
6,1,2024-01-06 08:13:58,67.3,28.8,1833,True,True,True,2.3
7,1,2024-01-07 08:37:27,76.1,28.7,1661,True,True,True,1.4
8,1,2024-01-08 08:27:38,59.2,28.6,1968,True,True,True,0.7
9,1,2024-01-09 08:21:07,58.9,24.5,1950,True,True,True,10.5
10,1,2024-01-10 08:40:19,51.1,25.8,1749,True,True,True,0.0
11,1,2024-01-11 08:23:56,64.0,28.7,1802,True,True,True,0.5
12,1,2024-01-12 08:34:49,75.1,29.5,1900,True,True,True,0.9
13,1,2024-01-13 08:25:42,70.1,25.4,1844,True,True,True,2.4
14,1,2024-01-14 08:04:45,62.5,28.1,1722,True,True,True,2.3
15,1,2024-01-15 08:30:15,55.2,28.2,2016,True,True,True,0.2
16,1,2024-01-16 08:06:03,76.4,29.1,1576,True,True,True,0.7
17,1,2024-01-17 08:35:06,59.8,27.3,1832,True,True,True,0.7
18,1,2024-01-18 08:25:57,83.9,25.6,1661,True,True,True,6.1
19,1,2024-01-19 08:09:12,61.9,25.8,1879,True,True,True,5.3
20,1,2024-01-20 08:10:03,83.4,27.1,1742,True,True,True,3.0
21,1,2024-01-21 08:26:42,51.7,30.6,1838,True,True,True,4.0
22,1,2024-01-22 08:20:59,68.0,28.8,1951,True,True,True,9.8
23,1,2024-01-23 08:23:18,52.1,29.8,1197,True,True,True,20.1
24,1,2024-01-24 08:08:16,79.8,26.9,1903,True,True,True,4.5
25,1,2024-01-25 08:03:05,53.9,26.9,1633,True,True,True,3.5
26,1,2024-01-26 08:35:00,80.2,29.6,1712,True,True,True,0.2
27,1,2024-01-27 08:02:57,84.7,27.1,1721,True,True,True,0.1
28,1,2024-01-28 08:15:55,75.5,28.5,1669,True,True,True,4.2
29,1,2024-01-29 08:10:50,80.1,27.6,1826,True,True,True,0.8
30,1,2024-01-30 08:14:01,65.4,30.4,1901,True,True,False,0.2
31,1,2024-01-31 08:16:11,66.2,30.3,1743,True,True,True,5.9
32,1,2024-02-01 08:36:12,87.6,30.1,1813,True,True,True,0.2
33,1,2024-02-02 08:21:39,78.0,28.6,2118,True,True,True,3.2
34,1,2024-02-03 08:26:42,83.3,29.0,1757,True,True,True,5.3
35,1,2024-02-04 08:29:28,77.5,32.2,1935,True,True,True,1.5
36,1,2024-02-05 08:21:05,61.1,29.9,1627,True,True,True,2.7
